"Lab.Nut","TP","TP_flg","SRP","SRP_flg","NH3-N","NH3-N_flg","NO23-N","NO23-N_flg","TKN","TKN_flg","TN","TN_flg"
"052578",3.0e-03,"<",1.0e-03,"<",0.04,,0.19,,0.17,,,
"052579",5.0e-03,,1.0e-03,"<",0.24,,0.06,,0.66,,,
"052580",1.50,,1.0e-03,,0.08,,0.09,,3.56,,,
"052581",8.0e-03,,1.0e-03,"<",0.01,,0.10,,0.45,,,
"052582",7.0e-03,,1.0e-03,"<",0.01,,0.45,,0.20,,,
"052583",5.0e-03,,1.0e-03,"<",0.01,,0.61,,0.15,,,
"052584",3.0e-03,"<",1.0e-03,"<",0.01,,0.62,,0.23,,,
"052585",3.0e-03,"<",1.0e-03,"<",0.01,,0.55,,0.27,,,
"052679",4.0e-03,,1.0e-03,"<",3.0e-03,"<",0.59,,0.31,,,
"052680",0.04,,1.0e-03,"<",3.0e-03,"<",0.31,,0.24,,,
"052681",3.0e-03,"<",1.0e-03,,3.0e-03,"<",0.68,,0.31,,,
"052682",3.0e-03,"<",1.0e-03,,3.0e-03,"<",0.52,,0.22,,,
"052683",3.0e-03,,9.0e-03,,0.02,,0.71,,0.19,,,
"052684",4.0e-03,,9.0e-03,,0.02,,0.56,,0.19,,,
"052932",8.0e-03,,8.0e-03,,0.01,,0.17,,0.21,,,
"052933",6.0e-03,,5.0e-03,,0.01,,0.61,,0.27,,,
"052934",5.0e-03,,2.0e-03,,0.01,,0.63,,0.19,,,
"052935",7.0e-03,,2.0e-03,,3.0e-03,"<",0.42,,0.22,,,
"052936",6.0e-03,,3.0e-03,,5.0e-03,,0.53,,0.18,,,
"052937",5.0e-03,,3.0e-03,,0.04,,0.50,,0.22,,,
"053201",3.0e-03,"<",1.0e-03,"<",7.0e-03,,0.34,,0.22,,,
"053202",3.0e-03,"<",1.0e-03,,3.0e-03,"<",0.41,,0.19,,,
"053203",4.0e-03,,2.0e-03,,3.0e-03,"<",0.37,,0.20,,,
"053204",3.0e-03,"<",2.0e-03,,3.0e-03,,0.44,,0.19,,,
"053205",3.0e-03,"<",2.0e-03,,3.0e-03,,0.58,,0.26,,,
"053206",3.0e-03,"<",2.0e-03,,7.0e-03,,0.50,,0.40,,,
"053207",3.0e-03,"<",2.0e-03,,3.0e-03,"<",0.44,,0.18,,,
"053208",3.0e-03,,4.0e-03,,3.0e-03,"<",0.60,,0.19,,,
"053209",5.0e-03,,2.0e-03,,3.0e-03,"<",0.56,,0.17,,,
"053212",8.0e-03,,2.0e-03,,3.0e-03,"<",0.37,,0.22,,,
"053213",8.0e-03,,1.0e-03,,3.0e-03,"<",0.59,,0.21,,,
"053214",6.0e-03,,1.0e-03,,3.0e-03,"<",0.65,,0.17,,,
"053215",4.0e-03,,1.0e-03,"<",3.0e-03,"<",0.30,,0.29,,,
"053216",4.0e-03,,1.0e-03,"<",0.01,,0.19,,0.23,,,
"053217",9.0e-03,,1.0e-03,,3.0e-03,"<",0.64,,0.24,,,
"053218",7.0e-03,,1.0e-03,"<",0.01,,0.22,,0.27,,,
"053219",6.0e-03,,1.0e-03,"<",0.01,,0.23,,0.26,,,
"053220",3.0e-03,,1.0e-03,"<",3.0e-03,"<",0.27,,0.24,,,
"053221",7.0e-03,,1.0e-03,,0.01,,0.22,,0.27,,,
"053222",4.0e-03,,1.0e-03,,3.0e-03,"<",0.42,,0.25,,,
"053223",7.0e-03,,1.0e-03,,3.0e-03,"<",0.48,,0.23,,,
"053224",5.0e-03,,2.0e-03,,3.0e-03,"<",0.63,,0.35,,,
"053225",0.01,,1.0e-03,"<",3.0e-03,"<",0.40,,0.26,,,
"053226",6.0e-03,,2.0e-03,,3.0e-03,,0.34,,0.30,,,
"053227",0.01,,1.0e-03,,3.0e-03,"<",0.60,,0.33,,,
"053229",0.01,,1.0e-03,"<",9.0e-03,,0.37,,0.26,,,
"053232",0.01,,2.0e-03,,3.0e-03,"<",0.37,,0.28,,,
"053233",0.01,,2.0e-03,,0.02,,0.39,,0.31,,,
"053234",0.01,,3.0e-03,,0.04,,0.43,,0.30,,,
"053235",0.02,,2.0e-03,,0.03,,0.41,,0.30,,,
"053236",0.18,,1.0e-03,,0.04,,0.21,,0.28,,,
"053239",0.02,,1.0e-03,"<",3.0e-03,"<",0.27,,0.33,,,
"053240",0.02,,1.0e-03,"<",3.0e-03,"<",0.23,,0.34,,,
"053241",0.10,,0.02,,0.54,,0.02,,1.11,,,
"060116",4.0e-03,,1.0e-03,,9.0e-03,,0.34,,0.24,,,
"060117",3.0e-03,"<",1.0e-03,"<",5.0e-03,,0.38,,0.18,,,
"060118",3.0e-03,"<",1.0e-03,"<",6.0e-03,,0.46,,0.22,,,
"060119",4.0e-03,,1.0e-03,"<",6.0e-03,,0.53,,0.30,,,
"060120",3.0e-03,"<",1.0e-03,"<",7.0e-03,,0.41,,0.48,,,
"060121",3.0e-03,"<",1.0e-03,,7.0e-03,,0.32,,0.22,,,
"060444",7.0e-03,,2.0e-03,,3.0e-03,"<",0.46,,0.16,,,
"060445",5.0e-03,,1.0e-03,"<",5.0e-03,,0.51,,0.24,,,
"060446",3.0e-03,"<",1.0e-03,,3.0e-03,"<",0.58,,0.20,,,
"060447",7.0e-03,,1.0e-03,"<",3.0e-03,"<",0.60,,0.31,,,
"060448",6.0e-03,,1.0e-03,"<",3.0e-03,"<",0.50,,0.38,,,
"060449",8.0e-03,,3.0e-03,,3.0e-03,"<",0.50,,0.32,,,
"060803",0.01,,3.0e-03,,3.0e-03,"<",0.53,,0.47,,,
"060804",8.0e-03,,1.0e-03,"<",7.0e-03,,0.29,,0.86,,,
"060805",0.01,,6.0e-03,,3.0e-03,"<",0.48,,0.34,,,
"060806",0.01,,1.0e-03,"<",3.0e-03,,0.24,,0.08,,,
"060807",3.0e-03,"<",1.0e-03,"<",0.04,,0.23,,0.13,,,
"060808",0.05,,1.0e-03,"<",0.10,,0.08,,0.58,,,
"060809",0.33,,2.0e-03,,0.08,,0.33,,0.95,,,
"060810",0.02,,2.0e-03,,0.05,,0.30,,0.51,,,
"060811",0.20,,3.0e-03,,0.06,,0.31,,0.66,,,
"060812",0.01,,1.0e-03,"<",7.0e-03,,0.33,,0.39,,,
"060813",3.0e-03,,3.0e-03,,0.04,,0.26,,0.39,,,
"060814",3.0e-03,"<",1.0e-03,"<",3.0e-03,,0.35,,0.26,,,
"060815",0.01,,3.0e-03,,0.01,,0.28,,0.42,,,
"060818",0.01,,1.0e-03,"<",3.0e-03,"<",0.27,,0.30,,,
"060819",0.01,,0.01,,3.0e-03,"<",0.41,,0.29,,,
"060820",0.02,,1.0e-03,"<",0.12,,0.07,,0.29,,,
"060821",3.0e-03,"<",1.0e-03,"<",5.0e-03,,0.38,,0.37,,,
"060824",9.0e-03,,1.0e-03,,0.02,,0.29,,0.35,,,
"060826",3.0e-03,,1.0e-03,"<",3.0e-03,"<",0.39,,0.28,,,
"060827",7.0e-03,,2.0e-03,,8.0e-03,,0.33,,0.44,,,
"060830",3.0e-03,"<",1.0e-03,"<",4.0e-03,,0.41,,0.57,,,
"060831",4.0e-03,,5.0e-03,,3.0e-03,"<",0.57,,0.52,,,
"060833",3.0e-03,"<",1.0e-03,"<",3.0e-03,,0.43,,0.30,,,
"060834",5.0e-03,,5.0e-03,,3.0e-03,"<",0.52,,0.30,,,
"060835",0.01,,5.0e-03,,6.0e-03,,0.60,,0.55,,,
"060836",4.0e-03,,1.0e-03,"<",4.0e-03,,0.45,,0.44,,,
"061241",3.0e-03,"<",1.0e-03,"<",3.0e-03,"<",0.28,,0.35,,,
"061242",4.0e-03,,1.0e-03,"<",3.0e-03,"<",0.35,,0.47,,,
"061243",6.0e-03,,5.0e-03,,3.0e-03,"<",0.39,,0.22,,,
"061244",6.0e-03,,4.0e-03,,3.0e-03,"<",0.41,,0.30,,,
"061245",3.0e-03,,1.0e-03,,3.0e-03,"<",0.35,,0.35,,,
"061246",3.0e-03,"<",1.0e-03,"<",3.0e-03,"<",0.22,,0.63,,,
"061394",3.0e-03,,2.0e-03,,0.11,,0.34,,0.96,,0.73,
"061395",3.0e-03,,2.0e-03,,3.0e-03,"<",0.45,,0.65,,0.85,
"061396",5.0e-03,,5.0e-03,,0.04,,0.60,,0.55,,0.98,
"061397",3.0e-03,"<",2.0e-03,,6.0e-03,,0.46,,0.29,,0.80,
"061398",3.0e-03,"<",2.0e-03,,9.0e-03,,0.42,,0.35,,0.74,
"061604",3.0e-03,"<",1.0e-03,"<",3.0e-03,"<",0.34,,,,0.81,
"061605",5.0e-03,,1.0e-03,"<",3.0e-03,"<",0.52,,,,1.08,
"061606",4.0e-03,,1.0e-03,,3.0e-03,"<",0.74,,,,1.47,
"061607",3.0e-03,"<",1.0e-03,,4.0e-03,,0.30,,,,0.75,
"061608",3.0e-03,"<",1.0e-03,"<",4.0e-03,,0.48,,,,0.99,
"061609",5.0e-03,,1.0e-03,,4.0e-03,,0.64,,,,1.32,
"061610",3.0e-03,"<",1.0e-03,"<",8.0e-03,,0.32,,,,0.84,
"061611",3.0e-03,"<",1.0e-03,"<",8.0e-03,,0.50,,,,1.12,
"061612",3.0e-03,,1.0e-03,"<",3.0e-03,"<",0.46,,,,0.97,
"061613",3.0e-03,"<",1.0e-03,"<",0.01,,0.23,,,,0.44,
"061614",0.01,,5.0e-03,,3.0e-03,"<",0.51,,,,1.10,
"061616",0.01,,1.0e-03,"<",0.04,,0.36,,,,0.60,
"061617",5.0e-03,,1.0e-03,"<",0.01,,0.39,,,,0.75,
"061620",1.14,,1.0e-03,,0.06,,0.35,,,,0.28,
"061621",0.80,,3.0e-03,,0.11,,0.29,,,,0.28,
"061622",0.30,,3.0e-03,,0.13,,0.29,,,,0.49,
"061623",0.10,,3.0e-03,,0.09,,0.29,,,,0.68,
"061624",0.09,,3.0e-03,,0.09,,0.29,,,,0.70,
"061625",0.03,,1.0e-03,"<",3.0e-03,"<",0.17,,,,0.54,
"061626",0.04,,1.0e-03,"<",8.0e-03,,0.40,,,,0.88,
"061627",0.02,,1.0e-03,,5.0e-03,,0.48,,,,1.16,
"061630",0.01,,1.0e-03,,7.0e-03,,0.19,,,,6.0e-03,
"061631",7.0e-03,,1.0e-03,"<",3.0e-03,"<",0.43,,,,0.01,
"061632",0.01,,1.0e-03,"<",3.0e-03,"<",0.47,,,,8.0e-03,
"061633",0.01,,1.0e-03,,3.0e-03,"<",0.42,,,,9.0e-03,
"061634",0.03,,1.0e-03,,0.01,,0.11,,,,8.0e-03,
"061635",4.0e-03,,1.0e-03,"<",3.0e-03,"<",0.11,,,,0.36,
"061636",5.0e-03,,1.0e-03,"<",0.02,,0.30,,,,0.91,
"061637",0.01,,0.01,,0.01,,0.49,,,,1.27,
"061641",3.0e-03,"<",1.0e-03,"<",3.0e-03,"<",0.27,,,,0.79,
"061642",3.0e-03,"<",1.0e-03,"<",0.02,,0.40,,,,1.05,
"061643",3.0e-03,"<",1.0e-03,"<",3.0e-03,"<",0.42,,,,1.05,
"061646",7.0e-03,,2.0e-03,,6.0e-03,,0.38,,,,1.05,
"061647",3.0e-03,"<",1.0e-03,"<",0.04,,0.46,,,,1.23,
"061648",3.0e-03,"<",1.0e-03,"<",0.11,,0.45,,,,1.23,
"062200",0.01,,1.0e-03,"<",0.01,,0.21,,,,0.52,
"062201",8.0e-03,,1.0e-03,"<",5.0e-03,,0.09,,,,0.40,
"062202",6.0e-03,,1.0e-03,"<",5.0e-03,,0.11,,,,0.45,
"062203",5.0e-03,,1.0e-03,,3.0e-03,"<",0.34,,,,0.60,
"062204",0.01,,5.0e-03,,3.0e-03,,0.20,,,,0.81,
"062205",6.0e-03,,1.0e-03,,5.0e-03,,0.13,,,,0.47,
"062206",6.0e-03,,1.0e-03,"<",3.0e-03,"<",0.06,,,,0.35,
"062207",6.0e-03,,1.0e-03,"<",0.04,,0.11,,,,0.53,
"062208",4.0e-03,,1.0e-03,"<",0.01,,0.13,,,,0.61,
"062209",0.01,,5.0e-03,,0.02,,0.37,,,,0.74,
"062210",6.0e-03,,1.0e-03,"<",0.01,,0.24,,,,0.62,
"062211",5.0e-03,,1.0e-03,"<",0.01,,0.15,,,,0.63,
"062877",3.0e-03,"<",1.0e-03,"<",3.0e-03,"<",0.34,,,,0.81,
"062878",5.0e-03,,1.0e-03,"<",3.0e-03,"<",0.52,,,,1.08,
"062879",4.0e-03,,1.0e-03,,3.0e-03,"<",0.74,,,,1.47,
"062880",3.0e-03,"<",1.0e-03,,4.0e-03,,0.30,,,,0.75,
"062881",3.0e-03,"<",1.0e-03,"<",4.0e-03,,0.48,,,,0.99,
"062882",5.0e-03,,1.0e-03,,4.0e-03,,0.64,,,,1.32,
"062883",3.0e-03,"<",1.0e-03,"<",8.0e-03,,0.32,,,,0.84,
"062884",3.0e-03,"<",1.0e-03,"<",8.0e-03,,0.50,,,,1.12,
"062885",3.0e-03,,1.0e-03,"<",3.0e-03,"<",0.46,,,,0.97,
"062886",3.0e-03,"<",1.0e-03,"<",0.01,,0.23,,,,0.44,
"062887",0.01,,5.0e-03,,3.0e-03,"<",0.51,,,,1.10,
"062888",3.0e-03,"<",1.0e-03,"<",8.0e-03,,0.41,,,,0.73,
"062889",0.01,,1.0e-03,"<",0.04,,0.36,,,,0.60,
"062890",5.0e-03,,1.0e-03,"<",0.01,,0.39,,,,0.75,
"062891",3.0e-03,"<",1.0e-03,"<",5.0e-03,,0.41,,,,0.72,
"062892",9.0e-03,,5.0e-03,,0.02,,0.63,,,,0.78,
"062893",1.14,,1.0e-03,,0.06,,0.35,,,,0.28,
"062894",0.80,,3.0e-03,,0.11,,0.29,,,,0.28,
"062895",0.30,,3.0e-03,,0.13,,0.29,,,,0.49,
