"Lab.Nut","TP","TP_flg","SRP","SRP_flg","NH3-N","NH3-N_flg","NO23-N","NO23-N_flg","TKN","TKN_flg","TN","TN_flg"
"H-4213",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.66,,0.16,,,
"H-4214",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.66,,0.13,,,
"H-4215",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.68,,0.08,,,
"H-4216",0.03,,0.02,,0.07,,0.48,,0.18,,,
"H-4217",0.22,,5.0e-03,"<",0.01,"<",0.15,,0.10,,,
"H-4218",0.01,,5.0e-03,"<",0.01,,0.19,,0.13,,,
"H-4219",0.02,,5.0e-03,"<",0.02,,0.18,,0.14,,,
"H-4220",7.0e-03,,5.0e-03,"<",0.02,,0.22,,0.20,,,
"H-4221",7.0e-03,,5.0e-03,"<",0.01,,0.33,,0.22,,,
"H-4222",0.01,,7.0e-03,,0.06,,0.36,,0.18,,,
"H-4224",0.01,,5.0e-03,"<",0.01,"<",0.20,,0.08,,,
"H-4225",6.0e-03,,5.0e-03,"<",0.01,"<",0.42,,0.09,,,
"H-4226",0.03,,0.02,,0.02,,0.77,,0.16,,,
"H-4227",6.0e-03,,5.0e-03,"<",0.01,"<",0.22,,0.10,,,
"H-4228",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.36,,0.09,,,
"H-4229",5.0e-03,,5.0e-03,"<",0.01,"<",0.44,,0.11,,,
"H-4230",0.02,,0.01,,0.01,"<",0.82,,0.15,,,
"H-4233",6.0e-03,,5.0e-03,"<",0.01,,0.19,,0.20,,,
"H-4234",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.57,,0.16,,,
"H-4235",6.0e-03,,5.0e-03,"<",0.01,"<",0.69,,0.08,,,
"H-4236",0.01,,9.0e-03,,0.01,"<",0.78,,0.08,,,
"H-4239",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.63,,0.07,,,
"H-4240",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.62,,0.08,,,
"H-4385",5.0e-03,"<",5.0e-03,"<",0.01,,0.21,,0.23,,,
"H-4387",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.64,,0.14,,,
"H-4388",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.63,,0.13,,,
"H-4617",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.24,,0.05,"<",,
"H-4618",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.27,,0.10,,,
"H-4666",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.40,,0.07,,,
"H-4667",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.40,,0.11,,,
"H-4905",6.0e-03,,5.0e-03,"<",0.01,"<",0.77,,0.15,,,
"H-4941",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.94,,0.18,,,
"H-5028",0.01,,5.0e-03,"<",0.01,"<",0.38,,0.19,,,
"H-5029",9.0e-03,,7.0e-03,,0.01,"<",0.63,,0.21,,,
"H-5030",5.0e-03,,5.0e-03,"<",0.01,"<",0.72,,0.23,,,
"H-5031",6.0e-03,,5.0e-03,"<",0.01,"<",0.72,,0.21,,,
"H-5032",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.45,,0.24,,,
"H-5033",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.62,,0.26,,,
"H-5034",8.0e-03,,6.0e-03,,0.01,"<",0.58,,0.22,,,
"H-5035",0.01,,8.0e-03,,0.01,"<",0.68,,0.14,,,
"H-5036",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.44,,0.23,,,
"H-5037",9.0e-03,,7.0e-03,,0.01,"<",0.53,,0.25,,,
"H-5038",0.01,,0.01,,0.01,"<",0.72,,0.19,,,
"H-5041",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.35,,0.19,,,
"H-5042",0.01,,0.01,,0.01,"<",0.49,,0.23,,,
"H-5043",0.01,,0.01,,0.01,"<",0.55,,0.25,,,
"H-5044",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.38,,0.26,,,
"H-5045",6.0e-03,,5.0e-03,"<",0.01,"<",0.49,,0.33,,,
"H-5046",0.01,,0.01,,0.01,"<",0.71,,0.22,,,
"H-5047",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.38,,0.25,,,
"H-5048",5.0e-03,"<",5.0e-03,"<",0.02,,0.44,,0.22,,,
"H-5049",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.36,,0.21,,,
"H-5050",6.0e-03,,5.0e-03,"<",0.01,"<",0.39,,0.25,,,
"H-5051",0.02,,5.0e-03,"<",0.03,,0.50,,0.23,,,
"H-5054",0.05,,9.0e-03,,0.01,"<",0.55,,0.39,,,
"H-5055",8.0e-03,,5.0e-03,"<",0.01,"<",0.32,,0.21,,,
"H-5056",7.0e-03,,5.0e-03,"<",0.01,"<",0.38,,0.21,,,
"H-5057",0.01,,5.0e-03,"<",0.02,,0.51,,0.15,,,
"H-5058",5.0e-03,,5.0e-03,"<",0.01,"<",0.37,,0.17,,,
"H-5059",5.0e-03,,5.0e-03,,0.01,"<",0.40,,0.21,,,
"H-5060",8.0e-03,,5.0e-03,"<",0.02,,0.45,,0.14,,,
"H-5061",0.01,,5.0e-03,"<",0.02,,0.46,,0.17,,,
"H-5062",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.26,,0.14,,,
"H-5063",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.30,,0.14,,,
"H-5064",9.0e-03,,7.0e-03,,0.01,"<",0.53,,0.16,,,
"H-5065",0.02,,0.01,,0.01,"<",0.66,,0.18,,,
"H-5068",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.24,,0.15,,,
"H-5069",5.0e-03,"<",5.0e-03,"<",0.01,,0.25,,0.14,,,
"H-5070",0.02,,0.01,,0.01,"<",0.58,,0.12,,,
"H-5071",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.23,,0.12,,,
"H-5072",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.81,,0.20,,,
"H-5073",9.0e-03,,5.0e-03,"<",0.01,,0.29,,0.23,,,
"H-5074",0.01,,5.0e-03,"<",0.01,"<",0.22,,0.20,,,
"H-5075",9.0e-03,,5.0e-03,"<",0.01,"<",0.31,,0.31,,,
"H-5076",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.20,,0.20,,,
"H-5077",7.0e-03,,5.0e-03,"<",0.01,"<",0.28,,0.22,,,
"H-5078",2.20,,6.0e-03,,0.13,,0.62,,0.78,,,
"H-5079",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.22,,0.26,,,
"H-5080",0.01,,5.0e-03,"<",0.01,"<",0.21,,0.21,,,
"H-5081",0.01,,7.0e-03,,0.14,,0.03,"<",0.27,,,
"H-5084",7.0e-03,,5.0e-03,"<",0.01,"<",0.41,,0.20,,,
"H-5085",5.0e-03,,5.0e-03,"<",0.01,"<",0.42,,0.22,,,
"H-5196",8.0e-03,,5.0e-03,"<",0.01,"<",0.45,,0.27,,,
"H-5197",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.40,,0.25,,,
"H-5405",9.0e-03,,5.0e-03,"<",0.01,,0.17,,0.53,,,
"H-5408",5.0e-03,,7.0e-03,,0.01,,0.19,,0.48,,,
"H-5412",0.07,,8.0e-03,,0.04,,0.22,,0.44,,,
"H-5413",0.02,,6.0e-03,,0.03,,0.26,,0.47,,,
"H-5414",0.01,,8.0e-03,,0.02,,0.28,,0.63,,,
"H-5415",0.01,,5.0e-03,"<",0.03,,0.23,,0.47,,,
"H-5416",0.01,,6.0e-03,,0.01,,0.18,,0.62,,,
"H-5417",0.01,,0.01,,0.02,,0.18,,0.66,,,
"H-5418",9.0e-03,,5.0e-03,"<",0.01,,0.28,,0.42,,,
"H-5419",5.0e-03,,5.0e-03,"<",0.01,,0.15,,0.46,,,
"H-5420",8.0e-03,,5.0e-03,"<",0.01,,0.14,,0.55,,,
"H-5421",5.0e-03,"<",5.0e-03,"<",0.01,,0.16,,0.32,,,
"H-5422",5.0e-03,"<",5.0e-03,"<",0.01,,0.16,,0.40,,,
"H-5423",7.0e-03,,5.0e-03,"<",0.01,,0.09,,0.54,,,
"H-5424",6.0e-03,,5.0e-03,"<",0.01,,0.20,,0.24,,,
"H-5425",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.14,,0.39,,,
"H-5426",8.0e-03,,6.0e-03,,0.01,"<",0.11,,0.46,,,
"H-5427",0.01,,0.01,,0.01,"<",0.11,,0.60,,,
"H-5428",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.16,,0.17,,,
"H-5429",5.0e-03,"<",5.0e-03,"<",0.01,,0.11,,0.31,,,
"H-5430",0.01,,0.01,,0.01,"<",0.13,,0.46,,,
"H-5431",6.0e-03,,5.0e-03,"<",0.01,"<",0.14,,0.17,,,
"H-5432",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.16,,0.26,,,
"H-5433",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.10,,0.26,,,
"H-5434",0.01,,0.01,,0.01,"<",0.07,,0.53,,,
"H-5437",5.0e-03,,5.0e-03,"<",0.03,,0.18,,0.13,,,
"H-5438",0.01,,5.0e-03,"<",0.01,"<",0.14,,0.36,,,
"H-5439",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.17,,0.31,,,
"H-5440",5.0e-03,"<",5.0e-03,"<",0.01,,0.19,,0.20,,,
"H-5441",9.0e-03,,5.0e-03,"<",0.01,,0.16,,0.41,,,
"H-5442",0.01,,5.0e-03,"<",0.04,,0.15,,0.46,,,
"H-5443",0.01,,5.0e-03,"<",0.01,,0.14,,0.31,,,
"H-5444",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.20,,0.34,,,
"H-5445",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.14,,0.14,,,
"H-5446",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.08,,0.20,,,
"H-5447",5.0e-03,"<",5.0e-03,"<",0.02,,0.05,"<",0.25,,,
"H-5448",0.01,,0.01,,0.01,"<",0.09,,0.52,,,
"H-5450",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.14,,0.24,,,
"H-5451",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.13,,0.38,,,
"H-5452",7.0e-03,,5.0e-03,"<",0.01,"<",0.10,,0.46,,,
"H-5453",0.01,,0.01,,0.01,"<",0.08,,0.62,,,
"H-5454",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.22,,0.23,,,
"H-5455",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.11,,0.40,,,
"H-5456",8.0e-03,,6.0e-03,,0.01,"<",0.07,,0.62,,,
"H-5457",0.01,,0.01,,0.01,"<",0.10,,0.61,,,
"H-5458",5.0e-03,"<",5.0e-03,"<",0.01,,0.12,,0.16,,,
"H-5459",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.12,,0.25,,,
"H-5460",0.01,,0.01,,0.01,"<",0.18,,0.41,,,
"H-5464",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.21,,0.19,,,
"H-5465",0.01,,5.0e-03,"<",0.01,"<",0.20,,0.21,,,
"H-5466",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.13,,0.49,,,
"H-5467",6.0e-03,,5.0e-03,"<",0.01,"<",0.08,,0.43,,,
"H-5480",5.0e-03,,5.0e-03,"<",0.01,"<",0.67,,0.12,,,
"H-5481",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.65,,0.21,,,
"H-5645",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.05,"<",0.56,,,
"H-5648",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.12,,0.58,,,
"H-5706",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.14,,0.44,,,
"H-5709",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.11,,0.42,,,
"H-5866",5.0e-03,,5.0e-03,"<",0.01,"<",0.54,,0.13,,,
"H-5867",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.55,,0.13,,,
"H-5868",0.01,,5.0e-03,"<",0.01,"<",0.08,,0.16,,,
"H-5869",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.23,,0.18,,,
"H-5870",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.59,,0.15,,,
"H-5871",7.0e-03,,5.0e-03,"<",0.01,"<",0.74,,0.15,,,
"H-5872",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.12,,0.24,,,
"H-5873",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.24,,0.21,,,
"H-5874",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.53,,0.10,,,
"H-5875",0.01,,0.01,,0.01,"<",0.70,,0.10,,,
"H-5877",7.0e-03,,5.0e-03,"<",0.01,"<",0.14,,0.15,,,
"H-5878",6.0e-03,,5.0e-03,"<",0.01,"<",0.39,,0.14,,,
"H-5879",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.46,,0.10,,,
"H-5880",0.01,,0.01,,0.01,"<",0.72,,0.14,,,
"H-5882",9.0e-03,,5.0e-03,"<",0.01,"<",0.06,,0.14,,,
"H-5883",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.07,,0.16,,,
"H-5884",0.02,,0.02,,0.01,"<",0.55,,0.22,,,
"H-5885",5.0e-03,,5.0e-03,"<",0.01,"<",0.13,,0.19,,,
"H-5886",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.39,,0.15,,,
"H-5887",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.49,,0.10,,,
"H-5888",0.01,,0.01,,0.01,"<",0.61,,0.13,,,
"H-5891",0.05,,5.0e-03,"<",0.03,,0.40,,0.31,,,
"H-5892",9.0e-03,,5.0e-03,"<",0.01,"<",0.23,,0.22,,,
"H-5893",6.0e-03,,5.0e-03,"<",0.01,"<",0.22,,0.19,,,
"H-5894",9.0e-03,,5.0e-03,"<",0.01,"<",0.47,,0.13,,,
"H-5895",0.01,,0.01,,0.01,"<",0.65,,0.19,,,
"H-5896",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.16,,0.16,,,
"H-5897",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.38,,0.17,,,
"H-5898",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.45,,0.11,,,
"H-5899",0.02,,0.01,,0.01,"<",0.66,,0.18,,,
"H-5900",6.0e-03,,5.0e-03,"<",0.01,"<",0.12,,0.13,,,
"H-5901",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.33,,0.09,,,
"H-5902",8.0e-03,,6.0e-03,,0.01,"<",0.48,,0.12,,,
"H-5903",0.02,,0.02,,0.01,"<",0.58,,0.16,,,
"H-5904",5.0e-03,,5.0e-03,"<",0.01,"<",0.09,,0.09,,,
"H-5907",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.34,,0.12,,,
"H-5908",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.44,,0.35,,,
"H-5909",0.01,,0.01,,0.01,"<",0.56,,0.24,,,
"H-5910",0.01,,5.0e-03,"<",0.01,"<",0.04,,0.21,,,
"H-5911",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.22,,0.09,,,
"H-5912",0.01,,0.01,,0.01,"<",0.58,,0.19,,,
"H-5913",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.03,"<",0.14,,,
"H-5914",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.10,,0.20,,,
"H-5915",0.02,,0.02,,0.11,,0.24,,0.27,,,
"H-6073",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.50,,0.26,,,
"H-6074",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.03,,0.27,,,
"H-6075",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.20,,0.27,,,
"H-6076",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.48,,0.23,,,
"H-6077",6.0e-03,,8.0e-03,,0.01,"<",0.63,,0.27,,,
"H-6078",5.0e-03,"<",5.0e-03,"<",0.01,,0.06,,0.28,,,
"H-6079",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.20,,0.24,,,
"H-6080",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.44,,0.25,,,
"H-6081",0.01,,0.01,,0.01,"<",0.60,,0.23,,,
"H-6083",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.06,,0.27,,,
"H-6084",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.17,,0.19,,,
"H-6085",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.37,,0.17,,,
"H-6086",0.02,,0.01,,0.01,"<",0.50,,0.25,,,
"H-6087",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.05,,0.19,,,
"H-6088",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.08,,0.20,,,
"H-6089",0.01,,8.0e-03,,0.01,"<",0.44,,0.26,,,
"H-6092",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.06,,0.19,,,
"H-6093",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.26,,0.27,,,
"H-6094",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.21,,0.16,,,
"H-6095",0.02,,0.01,,0.01,"<",0.42,,0.25,,,
"H-6096",0.01,,5.0e-03,"<",0.01,"<",0.09,,0.18,,,
"H-6097",0.01,,5.0e-03,"<",0.01,"<",0.18,,0.17,,,
"H-6098",0.03,,5.0e-03,"<",0.01,"<",0.06,,0.27,,,
"H-6099",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.50,,0.14,,,
"H-6290",5.0e-03,"<",7.0e-03,,0.01,"<",0.50,,0.19,,,
"H-6291",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.48,,0.20,,,
"H-6375",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.41,,0.17,,,
"H-6376",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.42,,0.30,,,
"H-6544",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.33,,0.26,,,
"H-6545",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.36,,0.21,,,
"H-6546",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.20,,0.21,,,
"H-6547",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.46,,0.20,,,
"H-6548",7.0e-03,,5.0e-03,,0.01,"<",0.59,,0.19,,,
"H-6549",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.24,,0.26,,,
"H-6550",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.45,,0.17,,,
"H-6551",0.01,,0.01,,0.01,"<",0.59,,0.21,,,
"H-6552",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.18,,0.26,,,
"H-6553",0.02,,0.01,,0.05,,0.11,,0.37,,,
"H-6554",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.27,,0.29,,,
"H-6555",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.45,,0.24,,,
"H-6556",0.01,,0.01,,0.01,"<",0.59,,0.28,,,
"H-6557",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.25,,0.28,,,
"H-6558",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.34,,0.24,,,
"H-6559",0.01,,0.01,,0.01,"<",0.54,,0.25,,,
"H-6560",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.22,,0.20,,,
"H-6561",6.0e-03,,5.0e-03,"<",0.01,"<",0.20,,0.18,,,
"H-6562",0.01,,9.0e-03,,0.01,"<",0.43,,0.19,,,
"H-6565",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.16,,0.15,,,
"H-6566",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.15,,0.09,,,
"H-6567",0.02,,5.0e-03,"<",0.01,"<",0.27,,0.19,,,
"H-6568",6.0e-03,,5.0e-03,"<",0.01,"<",0.08,,0.11,,,
"H-6569",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.11,,0.10,,,
"H-6570",6.0e-03,,5.0e-03,"<",0.01,"<",0.14,,0.12,,,
"H-6571",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.18,,0.17,,,
"H-6572",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.28,,0.12,,,
"H-6573",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.45,,0.12,,,
"H-6574",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.43,,0.17,,,
"H-6575",0.01,,0.01,,0.01,"<",0.53,,0.15,,,
"H-6576",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.33,,0.20,,,
"H-6577",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.33,,0.20,,,
"H-6578",0.01,,5.0e-03,"<",0.01,"<",0.41,,0.24,,,
"H-6579",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.33,,0.14,,,
"H-6580",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.43,,0.17,,,
"H-6583",0.05,,5.0e-03,"<",0.01,"<",0.57,,0.52,,,
"H-6584",7.0e-03,,5.0e-03,"<",0.01,"<",0.32,,0.24,,,
"H-6585",0.01,,5.0e-03,"<",0.01,"<",0.40,,0.36,,,
"H-6586",0.01,,5.0e-03,"<",0.01,"<",0.41,,0.29,,,
"H-6587",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.30,,0.20,,,
"H-6588",0.01,,9.0e-03,,0.01,"<",0.45,,0.26,,,
"H-6589",0.01,,0.01,,0.01,"<",0.51,,0.22,,,
"H-6590",0.03,,0.02,,0.01,"<",0.46,,0.19,,,
"H-6591",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.24,,0.20,,,
"H-6592",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.36,,0.17,,,
"H-6593",0.04,,0.04,,0.15,,0.11,,0.36,,,
"H-6595",0.03,,5.0e-03,"<",0.01,"<",0.08,,0.25,,,
"H-6750",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.20,,0.29,,,
"H-6751",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.23,,0.12,,,
"H-6752",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.31,,0.11,,,
"H-6753",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.32,,0.12,,,
"H-7044",6.0e-03,,5.0e-03,"<",0.01,"<",0.14,,0.23,,,
"H-7045",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.18,,0.18,,,
"H-7046",9.0e-03,,5.0e-03,"<",0.01,"<",0.43,,0.19,,,
"H-7047",0.01,,6.0e-03,,0.01,"<",0.45,,0.24,,,
"H-7048",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.21,,0.19,,,
"H-7049",9.0e-03,,7.0e-03,,0.01,"<",0.42,,0.16,,,
"H-7050",0.01,,0.01,,0.01,"<",0.47,,0.19,,,
"H-7053",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.23,,0.18,,,
"H-7054",9.0e-03,,5.0e-03,"<",0.01,"<",0.37,,0.21,,,
"H-7055",0.01,,0.01,,0.01,"<",0.44,,0.18,,,
"H-7057",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.22,,0.36,,,
"H-7058",9.0e-03,,5.0e-03,"<",0.01,"<",0.37,,0.18,,,
"H-7059",0.01,,5.0e-03,"<",0.01,"<",0.34,,0.15,,,
"H-7060",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.14,,0.13,,,
"H-7063",0.02,,0.02,,0.01,"<",0.36,,0.18,,,
"H-7064",0.02,,9.0e-03,,0.01,"<",0.38,,0.25,,,
"H-7065",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.26,,0.19,,,
"H-7066",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.27,,0.21,,,
"H-7067",0.03,,6.0e-03,,0.01,"<",0.37,,0.32,,,
"H-7068",0.03,,5.0e-03,"<",0.01,"<",0.03,"<",0.25,,,
"H-7069",0.05,,5.0e-03,"<",0.01,"<",0.53,,0.35,,,
"H-7070",7.0e-03,,5.0e-03,"<",0.01,"<",0.32,,0.19,,,
"H-7071",7.0e-03,,5.0e-03,"<",0.01,"<",0.37,,0.19,,,
"H-7072",0.02,,5.0e-03,"<",0.01,"<",0.48,,0.28,,,
"H-7073",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.32,,0.19,,,
"H-7074",5.0e-03,,5.0e-03,"<",0.01,"<",0.33,,0.15,,,
"H-7075",0.02,,5.0e-03,"<",0.01,"<",0.44,,0.25,,,
"H-7076",0.32,,5.0e-03,"<",0.01,"<",0.53,,0.78,,,
"H-7077",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.32,,0.22,,,
"H-7078",6.0e-03,,5.0e-03,"<",0.01,"<",0.33,,0.17,,,
"H-7079",0.02,,5.0e-03,"<",0.01,"<",0.38,,0.22,,,
"H-7082",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.16,,0.11,,,
"H-7083",6.0e-03,,5.0e-03,"<",0.01,"<",0.28,,0.17,,,
"H-7084",0.01,,5.0e-03,"<",0.01,"<",0.42,,0.22,,,
"H-7086",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.19,,0.14,,,
"H-7087",6.0e-03,,5.0e-03,"<",0.01,"<",0.28,,0.15,,,
"H-7088",0.02,,0.01,,0.01,"<",0.48,,0.20,,,
"H-7089",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.23,,0.15,,,
"H-7090",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.27,,0.14,,,
"H-7091",0.01,,0.01,,0.01,"<",0.48,,0.13,,,
"H-7092",0.02,,0.01,,0.01,"<",0.47,,0.15,,,
"H-7093",5.0e-03,"<",7.0e-03,,0.01,"<",0.15,,0.16,,,
"H-7094",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.17,,0.19,,,
"H-7095",0.01,,0.01,,0.01,"<",0.39,,0.21,,,
"H-7802",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.40,,0.22,,,
"H-7803",8.0e-03,,6.0e-03,,0.01,"<",0.46,,0.22,,,
"H-9139",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.43,,0.11,,,
"H-9140",5.0e-03,"<",5.0e-03,"<",0.04,,0.38,,0.13,,,
"J-1484",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.08,,0.06,,,
"J-1485",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.23,,0.08,,,
"J-1486",0.02,,0.01,,0.01,"<",0.43,,0.10,,,
"J-1487",0.08,,0.01,,0.01,"<",0.03,"<",0.34,,,
"J-1488",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.13,,0.11,,,
"J-1489",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.32,,0.11,,,
"J-1490",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.36,,0.10,,,
"J-1491",5.0e-03,"<",0.01,,0.01,"<",0.40,,0.10,,,
"J-1492",0.01,,9.0e-03,,0.01,"<",0.44,,0.06,,,
"J-1493",0.27,,9.0e-03,,0.01,"<",0.32,,0.67,,,
"J-1494",0.02,,7.0e-03,,0.01,"<",0.25,,0.12,,,
"J-1497",0.05,,8.0e-03,,0.01,"<",0.48,,0.20,,,
"J-1498",0.10,,8.0e-03,,0.01,"<",0.28,,0.29,,,
"J-1499",0.02,,5.0e-03,"<",0.01,"<",0.27,,0.16,,,
"J-1500",0.02,,0.01,,0.01,"<",0.49,,0.11,,,
"J-1501",0.01,,5.0e-03,"<",0.01,"<",0.31,,0.13,,,
"J-1502",0.01,,0.01,,0.01,"<",0.45,,0.13,,,
"J-1503",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.24,,0.13,,,
"J-1504",0.01,,5.0e-03,"<",0.01,"<",0.39,,0.17,,,
"J-1505",0.01,,7.0e-03,,0.01,"<",0.42,,0.12,,,
