"Lab.Maj","Cond","pH","TSS","TSS_flg","TDS","TDS_flg","Ca","Ca_flg","Mg","Mg_flg","Na","Na_flg","K","K_flg","CO3","CO3_flg","HCO3","HCO3_flg","Alkalinity","Alkalinity_flg","Cl","Cl_flg","SO4","SO4_flg","SiO2","SiO2_flg","Fe","Fe_flg"
"B-1252",738.00,8.20,,,505.00,,67.33,,15.79,,61.61,,3.12,,0.00,,143.39,,,,40.42,,188.76,,,,,
"B-12752",750.00,8.30,,,499.00,,56.91,,22.84,,66.21,,3.91,,5.10,,115.32,,,,44.32,,204.62,,,,,
"B-12753",747.00,8.30,,,497.00,,56.51,,22.60,,65.75,,3.91,,11.70,,104.34,,,,43.96,,208.46,,,,,
"B-12754",716.00,8.40,,,489.00,,59.71,,21.38,,59.77,,3.12,,10.50,,121.42,,,,42.54,,189.25,,,,,
"B-12755",789.00,8.40,,,538.00,,66.12,,22.60,,66.21,,3.91,,12.30,,123.86,,,,41.83,,213.26,,,,,
"B-12756",831.00,8.10,,,575.00,,70.53,,23.09,,69.88,,3.91,,0.00,,152.54,,,,42.54,,237.28,,,,,
"B-12757",932.00,8.50,,,637.00,,77.75,,26.73,,82.76,,4.69,,12.90,,139.73,,,,55.66,,265.14,,,,,
"B-12758",961.00,8.50,,,659.00,,79.35,,27.22,,85.52,,4.69,,20.40,,125.69,,,,61.33,,265.14,,,,,
"B-12759",961.00,8.10,,,668.00,,78.55,,27.70,,85.52,,4.69,,0.00,,169.63,,,,62.04,,268.98,,,,,
"B-12760",957.00,8.50,,,656.00,,77.75,,27.22,,86.44,,4.69,,15.90,,136.68,,,,61.33,,261.29,,,,,
"B-12761",928.00,8.40,,,642.00,,70.53,,27.22,,84.60,,4.69,,13.20,,118.98,,,,62.75,,265.14,,,,,
"B-12762",626.00,8.40,,,425.00,,51.70,,18.71,,49.19,,3.12,,11.70,,105.56,,,,32.62,,161.39,,,,,
"B-12763",626.00,8.40,,,426.00,,51.70,,18.71,,50.11,,3.12,,9.60,,108.61,,,,33.33,,157.54,,,,,
"B-12764",633.00,8.30,,,428.00,,54.50,,18.47,,48.27,,2.73,,9.90,,113.49,,,,34.03,,161.39,,,,,
"B-12765",793.00,8.10,,,534.00,,66.93,,22.36,,63.91,,4.69,,0.00,,148.27,,,,41.83,,214.22,,,,,
"B-12766",844.00,8.10,,,571.00,,70.13,,23.81,,68.96,,3.91,,0.00,,152.54,,,,45.02,,232.47,,,,,
"B-12767",899.00,8.50,,,611.00,,74.14,,25.27,,75.40,,3.91,,15.00,,128.75,,,,50.70,,246.88,,,,,
"B-12768",938.00,8.50,,,655.00,,76.14,,27.22,,84.60,,4.69,,17.10,,130.58,,,,59.92,,261.29,,,,,
"B-12769",947.00,8.00,,,651.00,,75.34,,27.22,,84.60,,4.69,,0.00,,168.41,,,,60.62,,251.69,,,,,
"B-12770",938.00,8.50,,,640.00,,74.54,,27.22,,85.52,,4.69,,13.20,,136.07,,,,62.75,,255.53,,,,,
"B-12771",716.00,8.40,,,489.00,,56.91,,21.38,,61.61,,3.91,,9.30,,102.51,,,,31.91,,210.38,,,,,
"B-12772",718.00,8.00,,,498.00,,59.31,,21.38,,60.23,,3.91,,0.00,,123.25,,,,31.91,,212.30,,,,,
"B-12773",738.00,7.90,,,504.00,,65.32,,20.90,,57.47,,3.12,,0.00,,143.39,,,,35.45,,197.89,,,,,
"B-12774",741.00,8.30,,,513.00,,69.33,,20.17,,56.55,,3.12,,11.40,,119.59,,,,28.36,,220.95,,,,,
"B-12775",799.00,8.40,,,553.00,,74.94,,21.87,,64.37,,3.91,,15.90,,118.37,,,,29.78,,237.28,,,,,
"B-12776",907.00,8.40,,,627.00,,77.75,,24.79,,78.16,,4.69,,0.00,,164.14,,,,49.99,,265.14,,,,,
"B-12777",925.00,8.40,,,645.00,,80.15,,26.24,,82.30,,3.91,,12.90,,139.73,,,,56.02,,263.21,,,,,
"B-12778",604.00,8.10,,,403.00,,51.30,,17.74,,45.52,,3.12,,0.00,,123.25,,,,32.62,,153.70,,,,,
"B-12779",610.00,8.10,,,392.00,,51.70,,17.74,,46.43,,3.12,,0.00,,123.25,,,,31.91,,153.70,,,,,
"B-12780",655.00,8.30,,,429.00,,57.71,,18.95,,51.49,,3.12,,10.80,,119.59,,,,36.87,,164.27,,,,,
"B-12781",802.00,8.00,,,537.00,,68.93,,22.84,,65.75,,3.91,,0.00,,152.54,,,,42.54,,212.30,,,,,
"B-12782",854.00,8.40,,,584.00,,74.94,,24.54,,70.80,,3.91,,16.20,,124.47,,,,48.57,,227.67,,,,,
"B-12783",906.00,8.50,,,612.00,,77.75,,25.76,,78.16,,4.69,,18.90,,126.92,,,,55.66,,245.92,,,,,
"B-12784",940.00,8.10,,,629.00,,78.55,,26.24,,82.76,,4.69,,0.00,,169.63,,,,62.04,,251.69,,,,,
